"origin","source","name","datetime","id","pm25","aqi_pm25","pm10","no2","lat","lon","region","district","district_ru","is_valid"
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-18 14:00:00.000,"104",193.0,268.0,278.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-31 20:00:00.000,"104",113.0,191.0,172.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-13 00:00:00.000,"104",55.0,149.0,79.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-26 02:00:00.000,"104",51.0,139.0,73.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-09 08:00:00.000,"104",104.0,185.0,157.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-05 10:00:00.000,"104",95.0,179.0,135.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-04 12:00:00.000,"104",26.0,82.0,34.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-27 04:00:00.000,"104",22.0,75.0,28.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Сатпаева-Луганского (TS485314),2020-01-21 18:00:00.000,"104",242.0,334.0,373.0,,43.241,76.96,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Абай,2020-07-26 14:00:00.000,"105",33.17,96.0,38.88,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-24 16:00:00.000,"105",51.3,140.0,62.25,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-07-10 10:00:00.000,"105",5.23,29.0,5.48,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-27 14:00:00.000,"105",26.38,83.0,31.85,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-12 00:00:00.000,"105",12.49,57.0,13.73,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-07-07 18:00:00.000,"105",7.18,40.0,7.5,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-07-07 12:00:00.000,"105",7.42,41.0,7.78,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-24 02:00:00.000,"105",10.97,54.0,11.6,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-07-27 16:00:00.000,"105",11.47,55.0,12.0,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-22 06:00:00.000,"105",15.4,63.0,16.4,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-03 22:00:00.000,"105",31.7,93.0,36.92,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-07-27 10:00:00.000,"105",4.38,24.0,4.85,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-30 00:00:00.000,"105",15.75,63.0,18.65,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-08 02:00:00.000,"105",11.75,56.0,12.43,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-08-31 20:00:00.000,"105",32.87,95.0,38.17,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-20 20:00:00.000,"105",22.0,75.0,24.58,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-08 06:00:00.000,"105",72.32,163.0,97.72,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-09 10:00:00.000,"105",69.97,161.0,92.77,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-10 12:00:00.000,"105",84.73,171.0,113.92,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-13 12:00:00.000,"105",71.13,162.0,95.9,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-15 10:00:00.000,"105",74.1,164.0,98.55,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-30 22:00:00.000,"105",167.13,242.0,201.73,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-28 12:00:00.000,"105",77.07,166.0,102.88,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-27 04:00:00.000,"105",76.3,166.0,97.3,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-15 08:00:00.000,"105",18.68,69.0,20.97,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-21 04:00:00.000,"105",20.7,73.0,23.39,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-01 10:00:00.000,"105",75.8,165.0,100.98,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-13 22:00:00.000,"105",91.53,176.0,106.85,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-19 20:00:00.000,"105",58.75,153.0,76.23,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-14 18:00:00.000,"105",23.67,78.0,27.81,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-20 04:00:00.000,"105",32.38,94.0,37.62,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-23 12:00:00.000,"105",7.46,41.0,8.2,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-03 06:00:00.000,"105",63.65,157.0,83.37,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-31 00:00:00.000,"105",45.95,127.0,58.95,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-26 08:00:00.000,"105",27.13,85.0,31.05,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-08 06:00:00.000,"105",34.0,97.0,40.47,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-12-03 12:00:00.000,"105",75.82,165.0,97.33,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-08 04:00:00.000,"105",38.5,108.0,48.52,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-23 18:00:00.000,"105",42.33,118.0,53.45,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-09 04:00:00.000,"105",17.15,66.0,19.9,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-09 14:00:00.000,"105",14.15,60.0,15.92,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-17 00:00:00.000,"105",38.25,108.0,44.72,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-04 12:00:00.000,"105",20.17,72.0,21.5,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-28 02:00:00.000,"105",40.93,114.0,50.98,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-16 22:00:00.000,"105",26.38,83.0,29.5,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-10 04:00:00.000,"105",6.02,33.0,6.83,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-11 16:00:00.000,"105",108.83,188.0,122.85,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-10 12:00:00.000,"105",13.43,59.0,14.92,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-30 00:00:00.000,"105",70.18,161.0,93.83,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-24 04:00:00.000,"105",54.09,147.0,69.75,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-29 16:00:00.000,"105",47.05,129.0,60.28,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-28 02:00:00.000,"105",24.32,79.0,27.52,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-11 10:00:00.000,"105",37.02,105.0,43.42,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-17 06:00:00.000,"105",38.47,108.0,48.9,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-16 14:00:00.000,"105",11.48,55.0,13.07,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-28 16:00:00.000,"105",20.63,72.0,23.46,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-10 02:00:00.000,"105",66.85,159.0,85.97,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-06 00:00:00.000,"105",55.3,150.0,72.05,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-27 12:00:00.000,"105",24.18,79.0,27.85,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-22 22:00:00.000,"105",70.86,162.0,89.57,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-09-16 00:00:00.000,"105",24.45,80.0,27.27,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-02 22:00:00.000,"105",90.23,175.0,103.2,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-10-21 22:00:00.000,"105",42.47,118.0,52.92,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-22 06:00:00.000,"105",107.33,187.0,132.48,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Абай,2020-11-10 12:00:00.000,"105",34.47,98.0,42.16,,43.214,76.75,Алматинская область,Қарасай ауданы,Карасайский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-02 02:00:00.000,"108",136.83,212.0,250.24,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-03 02:00:00.000,"108",21.94,75.0,25.06,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-10 22:00:00.000,"108",93.97,178.0,165.02,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-02 18:00:00.000,"108",180.88,256.0,326.19,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-01 22:00:00.000,"108",89.47,175.0,159.29,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-12 06:00:00.000,"108",33.41,96.0,41.08,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-03 08:00:00.000,"108",18.55,69.0,20.81,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-08 08:00:00.000,"108",37.53,106.0,49.53,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-21 02:00:00.000,"108",23.18,77.0,25.8,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-21 20:00:00.000,"108",139.14,215.0,251.54,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-14 04:00:00.000,"108",27.89,86.0,30.7,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-24 18:00:00.000,"108",107.42,187.0,190.25,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-05 20:00:00.000,"108",26.63,84.0,30.93,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-30 08:00:00.000,"108",61.93,156.0,95.95,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-10 12:00:00.000,"108",28.05,86.0,32.69,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-16 06:00:00.000,"108",34.95,99.0,43.98,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-19 02:00:00.000,"108",30.75,91.0,35.58,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-03 18:00:00.000,"108",39.32,110.0,51.54,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-16 08:00:00.000,"108",36.0,102.0,45.8,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-07 20:00:00.000,"108",22.14,75.0,26.86,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-08 18:00:00.000,"108",20.81,73.0,23.67,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-08 10:00:00.000,"108",12.88,58.0,14.36,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-30 00:00:00.000,"108",31.5,93.0,36.75,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-22 22:00:00.000,"108",20.66,73.0,23.68,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-09 18:00:00.000,"108",93.47,178.0,165.48,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-04 12:00:00.000,"108",9.77,52.0,10.47,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-10-02 12:00:00.000,"108",41.13,115.0,59.5,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-11-13 18:00:00.000,"108",55.8,151.0,89.52,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-09-05 00:00:00.000,"108",35.43,,43.15,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-23 04:00:00.000,"108",181.18,256.0,330.32,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-08 10:00:00.000,"108",86.75,173.0,157.71,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-23 00:00:00.000,"108",216.63,291.0,394.6,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-12-13 10:00:00.000,"108",63.15,156.0,94.5,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-08-11 02:00:00.000,"108",8.22,46.0,8.97,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-07-06 10:00:00.000,"108",13.9,60.0,14.75,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-06-24 10:00:00.000,"108",2.17,12.0,2.7,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-05-06 22:00:00.000,"108",28.82,88.0,34.71,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-07-09 22:00:00.000,"108",3.78,21.0,4.14,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-08-27 02:00:00.000,"108",34.33,98.0,42.42,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-08-26 06:00:00.000,"108",7.28,40.0,8.63,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-07-03 16:00:00.000,"108",3.86,21.0,4.49,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-06-17 20:00:00.000,"108",4.08,23.0,4.48,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-08-25 12:00:00.000,"108",13.32,59.0,16.55,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-07-16 22:00:00.000,"108",6.0,33.0,6.85,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-07-17 22:00:00.000,"108",5.6,31.0,6.32,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-08-22 18:00:00.000,"108",28.82,88.0,34.48,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-05-13 16:00:00.000,"108",7.49,42.0,8.34,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-06-12 20:00:00.000,"108",13.08,58.0,14.54,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-06-12 08:00:00.000,"108",5.63,31.0,6.17,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
AirKaz,airkaz,Жана Кайрат,2020-05-14 08:00:00.000,"108",11.2,55.0,11.98,,43.312,77.001,Алматы,Түрксіб ауданы,Турксибский район,true
