datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2025-03-01 00:00:00,,,,0.8928,0.0,0.0,27,,2025,3,1,0
2025-03-01 00:00:00,0.0239,0.0322,0.0825,0.0105,0.0173,0.0004,28,,2025,3,1,0
2025-03-01 00:00:00,0.0005,0.0276,0.0,0.0006,0.0625,0.0438,29,,2025,3,1,0
2025-03-01 00:00:00,0.0,0.0,0.1191,0.7512,0.0579,0.0108,30,0.0,2025,3,1,0
2025-03-01 00:00:00,0.0142,0.0134,0.0003,0.062,0.0036,0.0019,31,0.0,2025,3,1,0
2025-03-01 00:00:00,,,0.069,0.665,0.0795,,AQM 1,0.001,2025,3,1,0
2025-03-01 00:00:00,0.0,0.0,0.0042,0.0536,0.001,0.0,Скат-1,,2025,3,1,0
2025-03-01 00:00:00,0.0,0.0,0.003,0.0,0.0013,0.0013,Скат-3,,2025,3,1,0
2025-03-01 00:00:00,0.001,0.0012,,0.5707,0.0006,0.0006,Скат-4,,2025,3,1,0
2025-03-01 00:00:00,,,0.0029,0.8736,0.0109,0.0096,Скат-5,,2025,3,1,0
2025-03-01 00:00:00,0.0041,0.0119,0.0449,0.662,0.1338,0.0241,Скат-6,,2025,3,1,0
2025-03-01 00:00:00,,,0.0345,0.7674,0.1245,0.2351,Скат2,,2025,3,1,0
2025-03-01 00:20:00,,,,0.9746,0.0,0.0,27,,2025,3,1,0
2025-03-01 00:20:00,0.024,0.0315,0.0825,0.0105,0.0161,0.0002,28,,2025,3,1,0
2025-03-01 00:20:00,0.0005,0.0301,0.0,0.0006,0.0633,0.0575,29,,2025,3,1,0
2025-03-01 00:20:00,0.0,0.0,0.1049,0.7605,0.0797,0.0201,30,0.0,2025,3,1,0
2025-03-01 00:20:00,0.0129,0.0117,0.0003,0.0617,0.0031,0.0019,31,0.0,2025,3,1,0
2025-03-01 00:20:00,,,0.0627,0.69,0.0777,,AQM 1,0.001,2025,3,1,0
2025-03-01 00:20:00,0.0,0.0,0.004,0.0544,0.0009,0.0,Скат-1,,2025,3,1,0
