datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2025-09-01 00:00:00,,,,1.94,0.0,0.0,27,,2025,9,1,0
2025-09-01 00:00:00,0.0391,0.0497,0.0,0.0105,0.0392,0.058,28,,2025,9,1,0
2025-09-01 00:00:00,0.0008,0.0324,0.0,,0.0496,0.0858,29,,2025,9,1,0
2025-09-01 00:00:00,0.002,0.0018,0.0,,0.043,0.1161,30,,2025,9,1,0
2025-09-01 00:00:00,0.0027,0.0041,0.0001,0.0617,0.0038,0.0017,31,0.0029,2025,9,1,0
2025-09-01 00:00:00,,,0.001,0.315,0.0176,,AQM 1,0.001,2025,9,1,0
2025-09-01 00:00:00,0.0229,0.0286,0.0022,0.699,0.0009,0.001,Скат-1,,2025,9,1,0
2025-09-01 00:00:00,0.0,0.0,0.0,0.0739,,,Скат-3,,2025,9,1,0
2025-09-01 00:00:00,0.0011,0.0012,,,,,Скат-4,,2025,9,1,0
2025-09-01 00:00:00,,,0.0,0.0,0.0133,0.0091,Скат-5,,2025,9,1,0
2025-09-01 00:00:00,0.0129,0.0156,0.0,0.0,0.0734,0.1777,Скат-6,,2025,9,1,0
2025-09-01 00:00:00,,,0.1734,0.1828,0.0,0.0001,Скат2,,2025,9,1,0
2025-09-01 00:20:00,,,,1.7605,0.0,0.0,27,,2025,9,1,0
2025-09-01 00:20:00,0.0218,0.032,0.0,0.0104,0.0406,0.0438,28,,2025,9,1,0
2025-09-01 00:20:00,0.0005,0.0266,0.0,,0.0464,0.0669,29,,2025,9,1,0
2025-09-01 00:20:00,0.0012,0.0017,0.0,,0.0454,0.1102,30,,2025,9,1,0
2025-09-01 00:20:00,0.0023,0.0023,0.0001,0.0617,0.0028,0.0018,31,0.0032,2025,9,1,0
2025-09-01 00:20:00,,,0.001,0.315,0.0176,,AQM 1,0.001,2025,9,1,0
2025-09-01 00:20:00,0.0211,0.0255,0.0021,0.7634,0.0009,0.001,Скат-1,,2025,9,1,0
2025-09-01 00:20:00,0.0,0.0,0.0,0.0785,,,Скат-3,,2025,9,1,0
2025-09-01 00:20:00,0.0011,0.0012,,,,,Скат-4,,2025,9,1,0
2025-09-01 00:20:00,,,0.0,0.0,0.0145,0.0089,Скат-5,,2025,9,1,0
2025-09-01 00:20:00,0.0129,0.0166,0.0,0.0,0.0714,0.2136,Скат-6,,2025,9,1,0
2025-09-01 00:20:00,,,0.1573,0.1822,0.0001,0.0001,Скат2,,2025,9,1,0
2025-09-01 00:40:00,,,,1.6361,0.0,0.0,27,,2025,9,1,0
2025-09-01 00:40:00,0.0215,0.0309,0.0,0.0104,0.0413,0.0375,28,,2025,9,1,0
