origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,AsiaFood,2025-09-01 00:00:00,DKITU2463,17.84000015258789,,45.95400123596192,,,43.24283186562071,76.82871773078021,Ауэзовский район,Ауэзовский район,True,67.0,2025,9,1,0,False
Clarity Node,clarity,School 190,2025-09-01 00:00:00,DIWEV3860,,,34.07400054931641,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,,2025,9,1,0,False
Clarity Node,clarity,Gymnasium 39,2025-09-01 00:00:00,DCHRY4320,28.469999313354492,,50.77799835205078,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,87.0,2025,9,1,0,False
Clarity Node,clarity,Elaman 105 St.,2025-09-01 00:00:00,DCBVW2970,36.380001068115234,,52.88399848937989,,,43.368606872490815,76.94705072701963,Жетісу ауданы,Жетысуский район,True,103.0,2025,9,1,0,False
Clarity Node,clarity,Mamyr-3,2025-09-01 00:00:00,DAIEY0809,6.53000020980835,,40.26600151062012,,,43.21431008497455,76.85549980598847,Ауэзовский район,Ауэзовский район,True,36.0,2025,9,1,0,False
Clarity Node,clarity,Hospital-7,2025-09-01 00:00:00,DWEUM2128,12.25,,47.66399917602539,,,43.23396107591564,76.80012719631037,Наурызбай ауданы,Наурызбайский район,True,57.0,2025,9,1,0,False
Clarity Node,clarity,DIS-7,2025-09-01 00:00:00,DSPPD2123,11.479999542236328,,54.2699993133545,,,43.205327130825815,76.7769168478819,Наурызбай ауданы,Наурызбайский район,True,55.0,2025,9,1,0,False
Clarity Node,clarity,Kokzhiyek-63,2025-09-01 00:00:00,DSEZC5147,38.0099983215332,,48.1319995880127,,,43.35813359109591,76.92289958238688,Жетісу ауданы,Жетысуский район,True,107.0,2025,9,1,0,False
Clarity Node,clarity,Ritz Palace,2025-09-01 00:00:00,DWGII9341,5.429999828338623,,47.430000686645506,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,30.0,2025,9,1,0,False
Clarity Node,clarity,School 192,2025-09-01 00:00:00,DXIUX1869,6.010000228881836,,47.124000549316406,,,43.172031,76.852339,Наурызбай ауданы,Наурызбайский район,True,33.0,2025,9,1,0,False
Clarity Node,clarity,Kotelnikova St.,2025-09-01 00:00:00,DVPAX1933,21.219999313354492,,60.04800109863282,,,43.31039688071044,76.94216898220436,Түрксіб ауданы,Турксибский район,True,74.0,2025,9,1,0,False
Clarity Node,clarity,Shamiyeva St.,2025-09-01 00:00:00,DZBPD6527,21.989999771118164,,60.76799697875977,,,43.283229322033016,76.92753219053208,Жетісу ауданы,Жетысуский район,True,75.0,2025,9,1,0,False
Clarity Node,clarity,Kokkainar Micro,2025-09-01 00:00:00,DAIFK5203,33.119998931884766,,62.820002746582034,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,96.0,2025,9,1,0,False
Clarity Node,clarity,School 187,2025-09-01 00:00:00,DTHVZ4764,,,48.5819995880127,,,43.18579430712143,76.82847702612057,Наурызбай ауданы,Наурызбайский район,True,,2025,9,1,0,False
Clarity Node,clarity,Atyrau 54,2025-09-01 00:00:00,DLHIP6221,7.230000019073486,,50.939998626708984,,,43.29677960017615,76.99158959609676,Медеу ауданы,Медеуский район,True,40.0,2025,9,1,0,False
Clarity Node,clarity,CHP,2025-09-01 00:00:00,DNBKW4153,25.149999618530273,,52.99200096130371,,,43.29161420999885,76.80436756266862,Алатау ауданы,Алатауский район,True,81.0,2025,9,1,0,False
Clarity Node,clarity,Respublika 4,2025-09-01 00:00:00,DKWGL5134,5.110000133514404,,45.845998764038086,,,43.23680399999999,76.94481400000001,Бостандық ауданы,Бостандыкский район,True,28.0,2025,9,1,0,False
Reference Site,clarity,Almaty,2025-09-01 00:00:00,DXDVD8324,8.020000457763672,,,,,43.252855,76.93118,Алмалы ауданы,Алмалинский район,True,45.0,2025,9,1,0,False
Clarity Node,clarity,Alatau,2025-09-01 00:00:00,DAEVK9013,7.079999923706055,,44.02799835205078,,,43.176578104286946,76.89770583884861,Бостандық ауданы,Бостандыкский район,True,39.0,2025,9,1,0,False
Clarity Node,clarity,"Road, Almaty Industrial Zone",2025-09-01 00:00:00,DXKUV4229,,,49.75199890136719,,,43.316523,76.804295,Алатау ауданы,Алатауский район,True,,2025,9,1,0,False
Clarity Node,clarity,Ippodrom,2025-09-01 00:00:00,DXJDB8112,,,36.98999862670899,,,43.30777990786845,76.92324250852016,Жетісу ауданы,Жетысуский район,True,,2025,9,1,0,False
