origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
AirKaz,airkaz,"Тулебаева, 82",2023-07-31 16:00:00,30369354,4.75,26.0,5.25,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-30 12:00:00,30369354,18.14,68.0,19.72,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-28 12:00:00,30369354,31.83,93.0,36.26,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-24 00:00:00,30369354,7.95,44.0,8.79,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-26 04:00:00,30369354,7.77,43.0,8.63,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-26 10:00:00,30369354,7.12,40.0,7.67,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-30 02:00:00,30369354,23.07,77.0,24.98,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-13 16:00:00,30369354,7.45,41.0,8.02,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-09 02:00:00,30369354,9.14,51.0,10.0,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-06 20:00:00,30369354,5.46,30.0,5.91,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-10 06:00:00,30369354,7.41,41.0,7.86,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-28 14:00:00,30369354,8.79,49.0,9.57,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-25 08:00:00,30369354,8.7,48.0,9.54,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-07 16:00:00,30369354,3.6,20.0,3.84,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-07-12 18:00:00,30369354,30.74,91.0,34.6,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,КазГУ,2023-07-07 20:00:00,30960812,2.91,16.0,3.5,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-18 18:00:00,30960812,7.25,40.0,9.41,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-27 02:00:00,30960812,4.78,27.0,5.81,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-18 02:00:00,30960812,3.72,21.0,4.39,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-01 02:00:00,30960812,0.14,1.0,0.45,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-12 00:00:00,30960812,13.12,58.0,16.18,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-24 20:00:00,30960812,24.11,79.0,27.81,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-14 14:00:00,30960812,2.62,15.0,3.39,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-14 10:00:00,30960812,2.72,15.0,3.54,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-04 04:00:00,30960812,3.73,21.0,4.55,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-07-04 12:00:00,30960812,6.91,38.0,8.7,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-07 02:00:00,34703847,3.88,22.0,6.22,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-03 10:00:00,34703847,8.87,49.0,14.53,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-03 14:00:00,34703847,9.11,51.0,13.67,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-11 08:00:00,34703847,10.42,53.0,14.47,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-05 04:00:00,34703847,10.23,53.0,15.57,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-20 06:00:00,34703847,16.3,64.0,25.73,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-08 20:00:00,34703847,15.85,64.0,21.96,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-18 22:00:00,34703847,10.29,53.0,15.82,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-07-23 02:00:00,34703847,8.24,46.0,13.64,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
