origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
AirKaz,airkaz,"Тулебаева, 82",2023-09-01 14:00:00,30369354,9.69,52.0,10.72,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,КазГУ,2023-09-17 18:00:00,30960812,30.0,90.0,35.28,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-04 06:00:00,30960812,2.03,11.0,2.69,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-09 10:00:00,30960812,0.51,3.0,1.04,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-03 18:00:00,30960812,9.79,52.0,11.53,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-16 16:00:00,30960812,43.3,120.0,56.67,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-19 12:00:00,30960812,31.88,93.0,39.83,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-09 06:00:00,30960812,4.41,24.0,5.43,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-21 20:00:00,30960812,5.72,32.0,7.24,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-29 10:00:00,30960812,6.16,34.0,6.93,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-01 04:00:00,30960812,16.02,64.0,19.05,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-09-02 04:00:00,30960812,5.19,29.0,6.07,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-12 12:00:00,34703847,10.55,54.0,22.71,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-21 04:00:00,34703847,5.02,28.0,8.13,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-26 06:00:00,34703847,16.83,65.0,25.5,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-17 08:00:00,34703847,29.1,88.0,41.69,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-20 12:00:00,34703847,13.05,58.0,20.3,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,ул.Туруспекова,2023-09-12 22:00:00,34703847,17.32,66.0,26.23,,43.178,76.87,Алматы,Наурызбай ауданы,Наурызбайский район,True
AirKaz,airkaz,Талгар,2023-09-30 19:00:00,35948681,4.31,24.0,4.76,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-19 07:00:00,35948681,25.07,81.0,27.44,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-17 07:00:00,35948681,31.43,93.0,36.74,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-08 11:00:00,35948681,22.02,75.0,24.1,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-09 07:00:00,35948681,27.54,85.0,32.16,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-16 11:00:00,35948681,26.82,84.0,29.88,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-29 13:00:00,35948681,22.09,75.0,23.74,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-13 19:00:00,35948681,17.3,66.0,19.25,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-12 15:00:00,35948681,6.67,37.0,8.49,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-28 15:00:00,35948681,16.72,65.0,19.04,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-01 11:00:00,35948681,6.2,34.0,6.98,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-01 19:00:00,35948681,7.33,41.0,8.37,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Талгар,2023-09-01 21:00:00,35948681,65.98,158.0,74.48,,43.3039,77.2139,Алматинская область,Талғар ауданы,Талгарский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-07 02:00:00,36200067,35.52,101.0,42.17,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-23 08:00:00,36200067,3.66,20.0,4.07,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-23 20:00:00,36200067,9.78,52.0,10.55,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-12 16:00:00,36200067,24.33,79.0,27.41,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-29 04:00:00,36200067,10.98,55.0,11.95,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-07 14:00:00,36200067,23.26,77.0,26.86,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
AirKaz,airkaz,Айнабулак-3,2023-09-15 02:00:00,36200067,12.78,58.0,13.81,,43.324,76.919,Алматы,Жетісу ауданы,Жетысуский район,True
