origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
AirKaz,airkaz,"Тулебаева, 82",2023-02-23 20:00:00,30369354,35.67,101.0,42.12,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-23 22:00:00,30369354,31.96,94.0,37.12,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-12 06:00:00,30369354,153.32,229.0,183.12,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-05 04:00:00,30369354,63.39,157.0,82.65,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-07 00:00:00,30369354,116.43,194.0,140.24,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-05 12:00:00,30369354,30.5,91.0,34.0,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-19 12:00:00,30369354,83.67,171.0,107.26,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-14 06:00:00,30369354,124.07,199.0,145.28,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-17 06:00:00,30369354,7.45,41.0,9.05,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-11 18:00:00,30369354,17.81,67.0,21.14,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-20 06:00:00,30369354,89.98,175.0,106.75,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-27 00:00:00,30369354,52.91,144.0,66.84,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,"Тулебаева, 82",2023-02-02 22:00:00,30369354,40.33,113.0,49.41,,43.2576,76.9484,Алматы,Медеу ауданы,Медеуский район,True
AirKaz,airkaz,КазГУ,2023-02-08 16:00:00,30960812,83.04,170.0,103.46,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-02-05 14:00:00,30960812,15.81,64.0,18.19,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-02-15 22:00:00,30960812,159.28,234.0,197.83,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-02-14 04:00:00,30960812,22.81,77.0,28.19,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
AirKaz,airkaz,КазГУ,2023-02-22 20:00:00,30960812,20.79,73.0,26.26,,43.22,76.9264,Алматы,Бостандық ауданы,Бостандыкский район,True
