origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,Iliyski trakt,2025-02-01 00:00:00,DMKZM8328,0.67,4.32,37.69934762185647,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,4.0,2025,2,1,0,True
Clarity Node,clarity,Ritz Palace,2025-02-01 00:00:00,DWGII9341,2.97,4.35,90.88713036089916,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,16.0,2025,2,1,0,True
Clarity Node,clarity,Ippodrom,2025-02-01 00:00:00,DXJDB8112,,,95.47063767054738,,,43.30777990786845,76.92324250852016,Жетісу ауданы,Жетысуский район,True,,2025,2,1,0,True
Reference Site,clarity,Almaty,2025-02-01 00:00:00,DXDVD8324,8.0,,,,,43.252855,76.93118,Алмалы ауданы,Алмалинский район,True,44.0,2025,2,1,0,True
Clarity Node,clarity,School 192,2025-02-01 00:00:00,DXIUX1869,7.09,6.83,88.92004180717515,,,43.172031,76.852339,Наурызбай ауданы,Наурызбайский район,True,39.0,2025,2,1,0,True
Clarity Node,clarity,Shkola-Gimnaziya 152,2025-02-01 00:00:00,DZSFT0997,,,96.92208165193595,,,43.30173409474243,76.87217086857771,Алатау ауданы,Алатауский район,True,,2025,2,1,0,True
Clarity Node,clarity,School 137,2025-02-01 00:00:00,DRXHW5169,1.28,3.71,66.95740261511084,,,43.31676494629688,76.91083701308452,Жетісу ауданы,Жетысуский район,True,7.0,2025,2,1,0,True
Clarity Node,clarity,Kokzhiyek-63,2025-02-01 00:00:00,DSEZC5147,4.28,5.71,70.8533838283118,,,43.35813359109591,76.92289958238688,Жетісу ауданы,Жетысуский район,True,24.0,2025,2,1,0,True
Clarity Node,clarity,School 77,2025-02-01 00:00:00,DRGXK4758,5.29,6.33,102.97613089009631,,,43.218464378811994,76.94964360143646,Медеу ауданы,Медеуский район,True,29.0,2025,2,1,0,True
Clarity Node,clarity,School 190,2025-02-01 00:00:00,DIWEV3860,7.09,6.12,110.97817073485712,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,39.0,2025,2,1,0,True
Clarity Node,clarity,School 187,2025-02-01 00:00:00,DTHVZ4764,5.99,6.54,106.43285931945596,,,43.18579430712143,76.82847702612057,Наурызбай ауданы,Наурызбайский район,True,33.0,2025,2,1,0,True
