origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,Hospital-7,2025-03-01 00:00:00,DWEUM2128,43.17,26.4,91.43339854882784,,,43.23396107591564,76.80012719631037,Наурызбай ауданы,Наурызбайский район,True,120.0,2025,3,1,0,True
Clarity Node,clarity,Shamiyeva St.,2025-03-01 00:00:00,DZBPD6527,29.9,23.92,88.71294283492345,,,43.283229322033016,76.92753219053208,Жетісу ауданы,Жетысуский район,True,90.0,2025,3,1,0,True
Clarity Node,clarity,Kokkainar Micro,2025-03-01 00:00:00,DAIFK5203,44.69,32.67,91.76879719848728,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,124.0,2025,3,1,0,True
Clarity Node,clarity,Nurly street,2025-03-01 00:00:00,DKJRK1841,,,54.52091382797438,,,43.22880425521485,76.7774914696639,Наурызбай ауданы,Наурызбайский район,True,,2025,3,1,0,True
Clarity Node,clarity,Shkola-Gimnaziya 152,2025-03-01 00:00:00,DZSFT0997,,,74.47713348271141,,,43.30173409474243,76.87217086857771,Алатау ауданы,Алатауский район,True,,2025,3,1,0,True
Clarity Node,clarity,School 77,2025-03-01 00:00:00,DRGXK4758,20.09,13.82,66.37166611594147,,,43.218464378811994,76.94964360143646,Медеу ауданы,Медеуский район,True,71.0,2025,3,1,0,True
Clarity Node,clarity,Kotelnikova St.,2025-03-01 00:00:00,DVPAX1933,36.45,27.27,79.48947996928868,,,43.31039688071044,76.94216898220436,Түрксіб ауданы,Турксибский район,True,103.0,2025,3,1,0,True
Clarity Node,clarity,Suiynbay-55,2025-03-01 00:00:00,DUCDW6700,,45.45,92.45822775612058,,,43.37664309140991,76.99055491708968,Түрксіб ауданы,Турксибский район,True,,2025,3,1,0,True
Clarity Node,clarity,School 190,2025-03-01 00:00:00,DIWEV3860,20.07,11.49,73.15417214238803,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,71.0,2025,3,1,0,True
Clarity Node,clarity,AsiaFood,2025-03-01 00:00:00,DKITU2463,24.61,21.51,87.66948036931629,,,43.24283186562071,76.82871773078021,Ауэзовский район,Ауэзовский район,True,80.0,2025,3,1,0,True
Clarity Node,clarity,Elaman 105 St.,2025-03-01 00:00:00,DCBVW2970,20.81,13.97,60.725788846674135,,,43.368606872490815,76.94705072701963,Жетісу ауданы,Жетысуский район,True,73.0,2025,3,1,0,True
Clarity Node,clarity,Mamyr-3,2025-03-01 00:00:00,DAIEY0809,25.2,18.81,84.76269207226775,,,43.21431008497455,76.85549980598847,Ауэзовский район,Ауэзовский район,True,81.0,2025,3,1,0,True
Clarity Node,clarity,CHP,2025-03-01 00:00:00,DNBKW4153,28.76,20.27,80.36524311006613,,,43.29161420999885,76.80436756266862,Алатау ауданы,Алатауский район,True,88.0,2025,3,1,0,True
Clarity Node,clarity,Kokzhiyek-63,2025-03-01 00:00:00,DSEZC5147,28.49,20.55,55.82524190998333,,,43.35813359109591,76.92289958238688,Жетісу ауданы,Жетысуский район,True,87.0,2025,3,1,0,True
Clarity Node,clarity,Iliyski trakt,2025-03-01 00:00:00,DMKZM8328,31.78,22.58,25.397131082545823,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,93.0,2025,3,1,0,True
Clarity Node,clarity,Gymnasium 39,2025-03-01 00:00:00,DCHRY4320,16.27,10.3,80.79380805129765,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,64.0,2025,3,1,0,True
Clarity Node,clarity,School 137,2025-03-01 00:00:00,DRXHW5169,30.62,23.11,57.18546976693553,,,43.31676494629688,76.91083701308452,Жетісу ауданы,Жетысуский район,True,91.0,2025,3,1,0,True
