origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,Respublika 4,2025-05-01 00:00:00,DKWGL5134,12.84,,,,,43.23680399999999,76.94481400000001,Бостандық ауданы,Бостандыкский район,True,58.0,2025,5,1,0,False
Clarity Node,clarity,DIS-7,2025-05-01 00:00:00,DSPPD2123,14.52,,,,,43.205327130825815,76.7769168478819,Наурызбай ауданы,Наурызбайский район,True,61.0,2025,5,1,0,False
Clarity Node,clarity,Kokkainar Micro,2025-05-01 00:00:00,DAIFK5203,16.42,,,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,65.0,2025,5,1,0,False
Clarity Node,clarity,Ryskulova 81,2025-05-01 00:00:00,DLNAU6990,16.85,,,,,43.27865455271868,76.90347457672107,Жетісу ауданы,Жетысуский район,True,65.0,2025,5,1,0,False
Clarity Node,clarity,Ritz Palace,2025-05-01 00:00:00,DWGII9341,13.11,,,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,58.0,2025,5,1,0,False
Clarity Node,clarity,School 137,2025-05-01 00:00:00,DRXHW5169,12.89,,,,,43.31676494629688,76.91083701308452,Жетісу ауданы,Жетысуский район,True,58.0,2025,5,1,0,False
Clarity Node,clarity,Iliyski trakt,2025-05-01 00:00:00,DMKZM8328,19.0,,,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,69.0,2025,5,1,0,False
Clarity Node,clarity,Kotelnikova St.,2025-05-01 00:00:00,DVPAX1933,19.35,,,,,43.31039688071044,76.94216898220436,Түрксіб ауданы,Турксибский район,True,70.0,2025,5,1,0,False
Clarity Node,clarity,Mamyr-3,2025-05-01 00:00:00,DAIEY0809,12.06,,,,,43.21431008497455,76.85549980598847,Ауэзовский район,Ауэзовский район,True,57.0,2025,5,1,0,False
Clarity Node,clarity,Nicolas International chain of wineries,2025-05-01 00:00:00,DMMMH0420,11.1,,,,,43.19364967260028,76.90962542469542,Бостандық ауданы,Бостандыкский район,True,55.0,2025,5,1,0,False
Clarity Node,clarity,Gymnasium 39,2025-05-01 00:00:00,DCHRY4320,7.69,,,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,43.0,2025,5,1,0,False
Clarity Node,clarity,School 77,2025-05-01 00:00:00,DRGXK4758,10.12,,,,,43.218464378811994,76.94964360143646,Медеу ауданы,Медеуский район,True,53.0,2025,5,1,0,False
