origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,Ritz Palace,2025-04-01 00:00:00,DWGII9341,6.78,,,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,38.0,2025,4,1,0,False
Clarity Node,clarity,Kotelnikova St.,2025-04-01 00:00:00,DVPAX1933,34.44,,,,,43.31039688071044,76.94216898220436,Түрксіб ауданы,Турксибский район,True,98.0,2025,4,1,0,False
Clarity Node,clarity,Ryskulova 81,2025-04-01 00:00:00,DLNAU6990,26.18,,,,,43.27865455271868,76.90347457672107,Жетісу ауданы,Жетысуский район,True,83.0,2025,4,1,0,False
Clarity Node,clarity,Respublika 4,2025-04-01 00:00:00,DKWGL5134,6.67,,,,,43.23680399999999,76.94481400000001,Бостандық ауданы,Бостандыкский район,True,37.0,2025,4,1,0,False
Clarity Node,clarity,School 137,2025-04-01 00:00:00,DRXHW5169,45.22,,,,,43.31676494629688,76.91083701308452,Жетісу ауданы,Жетысуский район,True,125.0,2025,4,1,0,False
Clarity Node,clarity,Mamyr-3,2025-04-01 00:00:00,DAIEY0809,8.49,,,,,43.21431008497455,76.85549980598847,Ауэзовский район,Ауэзовский район,True,47.0,2025,4,1,0,False
Clarity Node,clarity,Elaman 105 St.,2025-04-01 00:00:00,DCBVW2970,62.61,,,,,43.368606872490815,76.94705072701963,Жетісу ауданы,Жетысуский район,True,156.0,2025,4,1,0,False
Clarity Node,clarity,Gymnasium 39,2025-04-01 00:00:00,DCHRY4320,24.8,,,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,80.0,2025,4,1,0,False
Clarity Node,clarity,CHP,2025-04-01 00:00:00,DNBKW4153,35.69,,,,,43.29161420999885,76.80436756266862,Алатау ауданы,Алатауский район,True,101.0,2025,4,1,0,False
Clarity Node,clarity,Shamiyeva St.,2025-04-01 00:00:00,DZBPD6527,30.39,,,,,43.283229322033016,76.92753219053208,Жетісу ауданы,Жетысуский район,True,91.0,2025,4,1,0,False
Clarity Node,clarity,School 190,2025-04-01 00:00:00,DIWEV3860,4.09,,,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,23.0,2025,4,1,0,False
Clarity Node,clarity,Iliyski trakt,2025-04-01 00:00:00,DMKZM8328,36.78,,,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,104.0,2025,4,1,0,False
Clarity Node,clarity,AsiaFood,2025-04-01 00:00:00,DKITU2463,27.0,,,,,43.24283186562071,76.82871773078021,Ауэзовский район,Ауэзовский район,True,84.0,2025,4,1,0,False
Clarity Node,clarity,DIS-7,2025-04-01 00:00:00,DSPPD2123,31.8,,,,,43.205327130825815,76.7769168478819,Наурызбай ауданы,Наурызбайский район,True,93.0,2025,4,1,0,False
Clarity Node,clarity,Kokkainar Micro,2025-04-01 00:00:00,DAIFK5203,96.85,,,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,180.0,2025,4,1,0,False
Clarity Node,clarity,KBTU,2025-04-01 00:00:00,DPFLR0020,13.02,,,,,43.25347876621724,76.94536842109201,Алмалы ауданы,Алмалинский район,True,58.0,2025,4,1,0,False
