origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
Clarity Node,clarity,Nurly street,2024-08-09 16:00:00,DKJRK1841,,,,23.085666351557183,43.22880425521485,76.7774914696639,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,Respublika 4,2024-08-27 05:00:00,DKWGL5134,5.92,33.0,7.69,31.283783962704177,43.23680399999999,76.94481400000001,Алматы,Бостандық ауданы,Бостандыкский район,True
Clarity Node,clarity,Respublika 4,2024-08-06 12:00:00,DKWGL5134,6.01,33.0,7.46,28.987692107743488,43.23680399999999,76.94481400000001,Алматы,Бостандық ауданы,Бостандыкский район,True
Clarity Node,clarity,Nicolas International chain of wineries,2024-08-17 18:00:00,DMMMH0420,18.46,68.0,21.3,48.426350585025,43.19364967260028,76.90962542469542,Алматы,Бостандық ауданы,Бостандыкский район,True
Clarity Node,clarity,Nicolas International chain of wineries,2024-08-18 02:00:00,DMMMH0420,5.79,32.0,7.95,30.14082071218994,43.19364967260028,76.90962542469542,Алматы,Бостандық ауданы,Бостандыкский район,True
Clarity Node,clarity,KBTU,2024-08-22 13:00:00,DPFLR0020,13.14,59.0,13.69,19.47836986551571,43.25347876621724,76.94536842109201,Алматы,Алмалы ауданы,Алмалинский район,True
Clarity Node,clarity,School 186,2024-08-07 19:00:00,DRAJE5023,,,,30.19539680291202,43.19147922175904,76.80283567546141,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,School 137,2024-08-25 22:00:00,DRXHW5169,29.63,89.0,42.8,44.86840179583497,43.31676494629688,76.91083701308452,Алматы,Жетісу ауданы,Жетысуский район,True
Clarity Node,clarity,Kokzhiyek-63,2024-08-18 20:00:00,DSEZC5147,6.27,35.0,11.16,35.85169056919656,43.35813359109591,76.92289958238688,Алматы,Жетісу ауданы,Жетысуский район,True
Clarity Node,clarity,DIS-7,2024-08-17 03:00:00,DSPPD2123,10.46,54.0,13.35,33.414694569457346,43.205327130825815,76.7769168478819,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,DIS-7,2024-08-06 07:00:00,DSPPD2123,5.36,30.0,7.37,24.26309260684989,43.205327130825815,76.7769168478819,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,Suiynbay-55,2024-08-31 10:00:00,DUCDW6700,,,2.88,26.6658908822475,43.37664309140991,76.99055491708968,Алматы,Түрксіб ауданы,Турксибский район,True
