origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
Clarity Node,clarity,Zhetysu 47,2024-11-10 13:00:00,DKQKP7937,24.2,79.0,22.61,40.30683989418466,43.29170729096677,76.98979982475333,Алматы,Медеу ауданы,Медеуский район,True
Clarity Node,clarity,Iliyski trakt,2024-11-04 11:00:00,DMKZM8328,39.3,110.0,41.04,33.3926406928728,43.34158170973398,76.98192511971963,Алматы,Түрксіб ауданы,Турксибский район,True
Clarity Node,clarity,Iliyski trakt,2024-11-29 17:00:00,DMKZM8328,115.62,193.0,89.6,57.88010366842644,43.34158170973398,76.98192511971963,Алматы,Түрксіб ауданы,Турксибский район,True
Clarity Node,clarity,Nicolas International chain of wineries,2024-11-04 02:00:00,DMMMH0420,10.81,54.0,9.46,33.72100084781868,43.19364967260028,76.90962542469542,Алматы,Бостандық ауданы,Бостандыкский район,True
Clarity Node,clarity,School 186,2024-11-23 02:00:00,DRAJE5023,,,,60.330255708658584,43.19147922175904,76.80283567546141,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,School 186,2024-11-04 14:00:00,DRAJE5023,,,,44.014191590641296,43.19147922175904,76.80283567546141,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,School 186,2024-11-02 13:00:00,DRAJE5023,,,,36.99715320826496,43.19147922175904,76.80283567546141,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,School 77,2024-11-03 23:00:00,DRGXK4758,20.16,72.0,18.16,39.93305188330639,43.218464378811994,76.94964360143646,Алматы,Медеу ауданы,Медеуский район,True
Clarity Node,clarity,DIS-7,2024-11-22 10:00:00,DSPPD2123,19.78,71.0,15.63,48.816489346703904,43.205327130825815,76.7769168478819,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,DIS-7,2024-11-07 02:00:00,DSPPD2123,,,0.81,35.99992627290556,43.205327130825815,76.7769168478819,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,Suiynbay-55,2024-11-04 04:00:00,DUCDW6700,,,69.74,80.00204171299265,43.37664309140991,76.99055491708968,Алматы,Түрксіб ауданы,Турксибский район,True
