datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-12-01 00:00:00,,,,1.1169,0.0,0.0,27,,2024,12,1,0
2024-12-01 00:00:00,0.0326,0.0401,0.0824,0.0104,0.0,0.0,28,0.0,2024,12,1,0
2024-12-01 00:00:00,0.0005,0.0289,0.0,0.0006,0.0,0.0,29,,2024,12,1,0
2024-12-01 00:00:00,0.0011,0.0007,0.0004,0.7579,0.0051,0.0017,30,0.0111,2024,12,1,0
2024-12-01 00:00:00,0.0104,0.0101,0.0004,0.0661,0.0072,0.0043,31,0.0,2024,12,1,0
2024-12-01 00:00:00,,,0.403,1.9648,0.1891,,AQM 1,0.001,2024,12,1,0
2024-12-01 00:00:00,0.0224,0.0225,0.0056,0.7617,0.426,0.0,Скат-1,,2024,12,1,0
2024-12-01 00:00:00,0.0,0.0,0.0246,0.0,0.001,0.001,Скат-3,,2024,12,1,0
2024-12-01 00:00:00,0.0009,0.0011,,0.0516,0.0004,0.0004,Скат-4,,2024,12,1,0
2024-12-01 00:00:00,,,0.0039,0.6106,0.012,0.0091,Скат-5,,2024,12,1,0
2024-12-01 00:00:00,0.0,0.0,0.0449,0.6722,0.118,0.0129,Скат-6,,2024,12,1,0
2024-12-01 00:00:00,,,0.0009,0.5526,,,Скат2,,2024,12,1,0
2024-12-01 00:20:00,,,,1.0019,0.0,0.0,27,,2024,12,1,0
2024-12-01 00:20:00,0.0259,0.0342,0.0824,0.0103,0.0,0.0,28,0.0,2024,12,1,0
2024-12-01 00:20:00,0.0007,0.0302,0.0,0.0006,0.0,0.0,29,,2024,12,1,0
2024-12-01 00:20:00,0.001,0.0017,0.0004,0.753,0.0045,0.002,30,0.0113,2024,12,1,0
2024-12-01 00:20:00,0.0103,0.0107,0.0004,0.065,0.0066,0.0034,31,0.0,2024,12,1,0
2024-12-01 00:20:00,,,0.4056,1.8451,0.1928,,AQM 1,0.001,2024,12,1,0
2024-12-01 00:20:00,0.0213,0.0215,0.0045,0.7107,0.5188,0.0,Скат-1,,2024,12,1,0
2024-12-01 00:20:00,0.0,0.0001,0.0245,0.0,0.0009,0.001,Скат-3,,2024,12,1,0
2024-12-01 00:20:00,0.0009,0.0011,,0.0289,0.0004,0.0004,Скат-4,,2024,12,1,0
2024-12-01 00:20:00,,,0.0129,0.3974,0.0118,0.0092,Скат-5,,2024,12,1,0
2024-12-01 00:20:00,0.0,0.0,0.0449,0.6645,0.0875,0.0045,Скат-6,,2024,12,1,0
2024-12-01 00:20:00,,,0.0009,0.5523,,,Скат2,,2024,12,1,0
2024-12-01 00:40:00,,,,1.0211,0.0,0.0,27,,2024,12,1,0
2024-12-01 00:40:00,0.0182,0.0254,0.0823,0.0103,0.0,0.0,28,0.0,2024,12,1,0
2024-12-01 00:40:00,0.0009,0.0312,0.0,0.0006,0.0,0.0,29,,2024,12,1,0
2024-12-01 00:40:00,0.0011,0.0015,0.0004,0.7494,0.0042,0.0017,30,0.0111,2024,12,1,0
2024-12-01 00:40:00,0.0101,0.0105,0.0004,0.0651,0.0057,0.0036,31,0.0,2024,12,1,0
2024-12-01 00:40:00,,,0.4072,1.8506,0.1921,,AQM 1,0.001,2024,12,1,0
2024-12-01 00:40:00,0.0221,0.022,0.0048,0.6843,0.5641,0.0,Скат-1,,2024,12,1,0
2024-12-01 00:40:00,0.0,0.0,0.0276,0.0,0.0009,0.001,Скат-3,,2024,12,1,0
2024-12-01 00:40:00,0.0009,0.0011,,0.029,0.0004,0.0004,Скат-4,,2024,12,1,0
2024-12-01 00:40:00,,,0.0025,0.2144,0.0118,0.0093,Скат-5,,2024,12,1,0
2024-12-01 00:40:00,0.0,0.0,0.0449,0.6624,0.0743,0.0025,Скат-6,,2024,12,1,0
2024-12-01 00:40:00,,,0.0009,0.5526,,,Скат2,,2024,12,1,0
2024-12-01 01:00:00,,,,0.6708,0.0,0.0,27,,2024,12,1,1
2024-12-01 01:00:00,0.0157,0.0216,0.0821,0.0102,0.0,0.0,28,0.0,2024,12,1,1
2024-12-01 01:00:00,0.0008,0.017,0.0001,0.0006,0.0,0.0,29,,2024,12,1,1
2024-12-01 01:00:00,0.0012,0.0013,0.0004,0.7494,0.0046,0.0012,30,0.0131,2024,12,1,1
2024-12-01 01:00:00,0.0102,0.0101,0.0004,0.0647,0.0057,0.0032,31,0.0,2024,12,1,1
2024-12-01 01:00:00,,,0.3958,1.2034,0.1893,,AQM 1,0.001,2024,12,1,1
2024-12-01 01:00:00,0.0281,0.0285,0.0057,0.6694,0.4563,0.0,Скат-1,,2024,12,1,1
2024-12-01 01:00:00,0.0,0.0,0.0251,0.0,0.0009,0.001,Скат-3,,2024,12,1,1
2024-12-01 01:00:00,0.0009,0.0011,,0.0289,0.0004,0.0004,Скат-4,,2024,12,1,1
2024-12-01 01:00:00,,,0.0024,0.2802,0.0117,0.009,Скат-5,,2024,12,1,1
2024-12-01 01:00:00,0.0,0.0,0.0449,0.6619,0.0683,0.0022,Скат-6,,2024,12,1,1
2024-12-01 01:00:00,,,0.001,0.5526,,,Скат2,,2024,12,1,1
2024-12-01 01:20:00,,,,0.5398,0.0,0.0,27,,2024,12,1,1
2024-12-01 01:20:00,0.0167,0.0233,0.0817,0.0102,0.0,0.0,28,0.0,2024,12,1,1
2024-12-01 01:20:00,0.0008,0.0166,0.0,0.0006,0.0,0.0,29,,2024,12,1,1
2024-12-01 01:20:00,0.0009,0.0012,0.0004,0.7494,0.0049,0.0012,30,0.0131,2024,12,1,1
2024-12-01 01:20:00,0.011,0.011,0.0004,0.0653,0.0065,0.0039,31,0.0,2024,12,1,1
2024-12-01 01:20:00,,,0.3797,1.2761,0.1827,,AQM 1,0.001,2024,12,1,1
2024-12-01 01:20:00,0.0293,0.0295,0.0032,0.6438,0.563,0.0,Скат-1,,2024,12,1,1
2024-12-01 01:20:00,0.0,0.0,0.0226,0.0,0.0009,0.0011,Скат-3,,2024,12,1,1
2024-12-01 01:20:00,0.0009,0.0011,,0.0289,0.0004,0.0004,Скат-4,,2024,12,1,1
2024-12-01 01:20:00,,,0.0033,0.2512,0.0115,0.0093,Скат-5,,2024,12,1,1
2024-12-01 01:20:00,0.0,0.0,0.0449,0.6619,0.0673,0.0019,Скат-6,,2024,12,1,1
2024-12-01 01:20:00,,,0.0009,0.5526,,,Скат2,,2024,12,1,1
2024-12-01 01:40:00,,,,0.5114,0.0,0.0,27,,2024,12,1,1
2024-12-01 01:40:00,0.0213,0.0282,0.0817,0.0102,0.0,0.0,28,0.0,2024,12,1,1
2024-12-01 01:40:00,0.0006,0.0244,0.0,0.0006,0.0,0.0,29,,2024,12,1,1
2024-12-01 01:40:00,0.001,0.0011,0.0004,0.7494,0.0046,0.0012,30,0.0149,2024,12,1,1
2024-12-01 01:40:00,0.0113,0.0115,0.0004,0.0654,0.0064,0.0034,31,0.0,2024,12,1,1
2024-12-01 01:40:00,,,0.3768,1.4042,0.1814,,AQM 1,0.001,2024,12,1,1
2024-12-01 01:40:00,0.03,0.0303,0.0039,0.6436,0.5419,0.0,Скат-1,,2024,12,1,1
2024-12-01 01:40:00,0.0,0.0,0.0244,0.0,0.001,0.001,Скат-3,,2024,12,1,1
2024-12-01 01:40:00,0.0009,0.0011,,0.0287,0.0004,0.0004,Скат-4,,2024,12,1,1
2024-12-01 01:40:00,,,0.0088,0.2086,0.0117,0.0094,Скат-5,,2024,12,1,1
2024-12-01 01:40:00,0.0,0.0,0.0449,0.6619,0.0665,0.0017,Скат-6,,2024,12,1,1
2024-12-01 01:40:00,,,0.0009,0.5521,,,Скат2,,2024,12,1,1
2024-12-01 02:00:00,,,,0.4597,0.0,0.0,27,,2024,12,1,2
2024-12-01 02:00:00,0.0209,0.0264,0.0824,0.0102,0.0,0.0,28,0.0,2024,12,1,2
2024-12-01 02:00:00,0.0007,0.017,0.0,0.0006,0.0,0.0,29,,2024,12,1,2
2024-12-01 02:00:00,0.0008,0.0009,0.0004,0.7494,0.0057,0.0014,30,0.0144,2024,12,1,2
2024-12-01 02:00:00,0.0118,0.0124,0.0005,0.0652,0.006,0.0033,31,0.0,2024,12,1,2
2024-12-01 02:00:00,,,0.3855,1.2191,0.1856,,AQM 1,0.001,2024,12,1,2
2024-12-01 02:00:00,0.0313,0.0312,0.0042,0.6702,0.4499,0.0,Скат-1,,2024,12,1,2
2024-12-01 02:00:00,0.0001,0.0001,0.031,0.0,0.0011,0.0009,Скат-3,,2024,12,1,2
2024-12-01 02:00:00,0.0009,0.0011,,0.0288,0.0004,0.0004,Скат-4,,2024,12,1,2
2024-12-01 02:00:00,,,0.0049,0.2185,0.0115,0.0092,Скат-5,,2024,12,1,2
2024-12-01 02:00:00,0.0,0.0,0.0449,0.6619,0.0677,0.002,Скат-6,,2024,12,1,2
2024-12-01 02:00:00,,,0.0009,0.5528,,,Скат2,,2024,12,1,2
2024-12-01 02:20:00,,,,0.4552,0.0,0.0,27,,2024,12,1,2
2024-12-01 02:20:00,0.0355,0.0481,0.0824,0.0103,0.0,0.0,28,0.0,2024,12,1,2
2024-12-01 02:20:00,0.0006,0.0171,0.0,0.0006,0.0,0.0,29,,2024,12,1,2
2024-12-01 02:20:00,0.0006,0.0007,0.0004,0.7494,0.0046,0.0017,30,0.0139,2024,12,1,2
2024-12-01 02:20:00,0.0106,0.0113,0.0004,0.0652,0.006,0.0033,31,0.0,2024,12,1,2
2024-12-01 02:20:00,,,0.3858,1.3239,0.186,,AQM 1,0.001,2024,12,1,2
2024-12-01 02:20:00,0.03,0.0302,0.004,0.6716,0.4594,0.0,Скат-1,,2024,12,1,2
2024-12-01 02:20:00,0.0,0.0,0.0389,0.0,0.0009,0.0008,Скат-3,,2024,12,1,2
2024-12-01 02:20:00,0.0009,0.0011,,0.0284,0.0004,0.0004,Скат-4,,2024,12,1,2
2024-12-01 02:20:00,,,0.0025,0.197,0.0117,0.0095,Скат-5,,2024,12,1,2
2024-12-01 02:20:00,0.0,0.0,0.0449,0.6619,0.069,0.0018,Скат-6,,2024,12,1,2
2024-12-01 02:20:00,,,0.0009,0.5524,,,Скат2,,2024,12,1,2
2024-12-01 02:40:00,,,,0.3511,0.0,0.0,27,,2024,12,1,2
2024-12-01 02:40:00,0.0818,0.0846,0.0825,0.0103,0.0,0.0,28,0.0,2024,12,1,2
2024-12-01 02:40:00,0.0005,0.0216,0.0,0.0006,0.0,0.0,29,,2024,12,1,2
2024-12-01 02:40:00,0.0007,0.0007,0.0004,0.7494,0.0049,0.0012,30,0.0154,2024,12,1,2
2024-12-01 02:40:00,0.0134,0.0136,0.0004,0.0655,0.0061,0.003,31,0.0,2024,12,1,2
2024-12-01 02:40:00,,,0.3917,1.414,0.1874,,AQM 1,0.001,2024,12,1,2
