datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-01-01 00:00:00,,,,1.3349,0.0147,0.0434,27,,2024,1,1,0
2024-01-01 00:00:00,0.0007,0.0004,0.0817,0.0114,0.0546,0.0421,28,0.9314,2024,1,1,0
2024-01-01 00:00:00,0.0108,0.0594,0.0001,0.0552,0.0398,0.0515,29,,2024,1,1,0
2024-01-01 00:00:00,0.0013,0.0011,0.001,0.7691,0.0589,0.1141,30,0.0112,2024,1,1,0
2024-01-01 00:00:00,0.0343,0.0349,0.0002,0.0666,0.1368,0.0707,31,0.0048,2024,1,1,0
2024-01-01 00:00:00,,,0.0334,2.9039,0.08,,AQM 1,0.001,2024,1,1,0
2024-01-01 00:00:00,,,0.0401,3.3458,0.1112,,AQM 12,0.001,2024,1,1,0
2024-01-01 00:00:00,,,0.0038,3.0957,0.0851,,AQM25,0.0061,2024,1,1,0
2024-01-01 00:00:00,,,0.001,3.5898,0.0969,,AQM26,0.001,2024,1,1,0
2024-01-01 00:00:00,0.1426,0.1432,0.0036,1.5484,0.0277,0.0492,Скат-1,,2024,1,1,0
2024-01-01 00:00:00,0.0,0.0,0.0207,1.6106,0.0009,0.0009,Скат-3,,2024,1,1,0
2024-01-01 00:00:00,0.0008,0.0006,0.0004,0.603,0.0006,0.0006,Скат-4,,2024,1,1,0
2024-01-01 00:00:00,,,0.0032,2.3083,0.1727,0.2206,Скат-5,,2024,1,1,0
2024-01-01 00:00:00,0.0017,0.0494,0.0575,0.7099,0.0173,0.0032,Скат-6,,2024,1,1,0
2024-01-01 00:00:00,,,,1.3819,,,Скат2,,2024,1,1,0
2024-01-01 00:20:00,,,,1.0175,0.0162,0.0153,27,,2024,1,1,0
2024-01-01 00:20:00,0.0004,0.0004,0.0816,0.0116,0.0555,0.0456,28,0.9313,2024,1,1,0
2024-01-01 00:20:00,0.0105,0.0617,0.0001,0.0551,0.0373,0.0517,29,,2024,1,1,0
2024-01-01 00:20:00,0.0016,0.0018,0.001,0.7825,0.059,0.1234,30,0.0112,2024,1,1,0
2024-01-01 00:20:00,0.0354,0.0356,0.0001,0.0666,0.1336,0.0635,31,0.0048,2024,1,1,0
2024-01-01 00:20:00,,,0.0326,3.14,0.0801,,AQM 1,0.001,2024,1,1,0
2024-01-01 00:20:00,,,0.0203,3.9955,0.108,,AQM 12,0.001,2024,1,1,0
2024-01-01 00:20:00,,,0.0016,3.9043,0.0874,,AQM25,0.0051,2024,1,1,0
2024-01-01 00:20:00,,,0.001,4.2207,0.0969,,AQM26,0.001,2024,1,1,0
2024-01-01 00:20:00,0.1282,0.1297,0.0034,1.6247,0.0255,0.0344,Скат-1,,2024,1,1,0
2024-01-01 00:20:00,0.0,0.0,0.0203,1.8619,0.0008,0.0009,Скат-3,,2024,1,1,0
2024-01-01 00:20:00,0.0008,0.0006,0.0004,0.7349,0.0006,0.0006,Скат-4,,2024,1,1,0
2024-01-01 00:20:00,,,0.0033,2.5683,0.1888,0.2719,Скат-5,,2024,1,1,0
2024-01-01 00:20:00,0.0012,0.0547,0.0575,0.7189,0.0171,0.0037,Скат-6,,2024,1,1,0
2024-01-01 00:20:00,,,,1.4388,,,Скат2,,2024,1,1,0
2024-01-01 00:40:00,,,,1.4382,0.0182,0.0178,27,,2024,1,1,0
2024-01-01 00:40:00,0.0076,0.0004,0.0815,0.0115,0.0537,0.0465,28,0.9313,2024,1,1,0
2024-01-01 00:40:00,0.0099,0.0638,0.0001,0.0608,0.0421,0.0555,29,,2024,1,1,0
2024-01-01 00:40:00,0.0019,0.0017,0.001,0.7938,0.0591,0.1396,30,0.0111,2024,1,1,0
2024-01-01 00:40:00,0.034,0.0344,0.0002,0.0661,0.1244,0.0497,31,0.0048,2024,1,1,0
