datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-10-01 00:00:00,,,,2.565,0.0,0.0,27,,2024,10,1,0
2024-10-01 00:00:00,0.0272,0.0532,0.0837,0.0108,0.0792,0.0172,28,,2024,10,1,0
2024-10-01 00:00:00,0.0005,0.0453,0.0001,0.0557,,,29,,2024,10,1,0
2024-10-01 00:00:00,0.0007,0.0006,0.0006,0.8994,0.0945,0.1477,30,0.0117,2024,10,1,0
2024-10-01 00:00:00,0.0053,0.0057,0.0001,0.0623,0.0067,0.0019,31,0.0513,2024,10,1,0
2024-10-01 00:00:00,,,0.0568,0.9961,0.0801,,AQM 1,0.001,2024,10,1,0
2024-10-01 00:00:00,,,0.098,0.001,0.1133,,AQM 12,0.4124,2024,10,1,0
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,0
2024-10-01 00:00:00,0.0,0.0,0.003,0.5459,0.0012,0.0012,Скат-3,,2024,10,1,0
2024-10-01 00:00:00,0.0011,0.0013,,0.5705,0.0006,0.0006,Скат-4,,2024,10,1,0
2024-10-01 00:00:00,,,0.0041,0.4728,0.0134,0.0087,Скат-5,,2024,10,1,0
2024-10-01 00:00:00,0.0092,0.0112,0.134,0.6646,0.0675,0.0533,Скат-6,,2024,10,1,0
2024-10-01 00:00:00,,,0.0012,0.4524,,,Скат2,,2024,10,1,0
2024-10-01 00:20:00,,,,1.4941,0.0,0.0,27,,2024,10,1,0
2024-10-01 00:20:00,0.027,0.0551,0.0829,0.0109,0.0788,0.0202,28,,2024,10,1,0
2024-10-01 00:20:00,0.0006,0.0479,0.0001,0.0574,,,29,,2024,10,1,0
2024-10-01 00:20:00,0.0008,0.0008,0.0006,0.9044,0.1052,0.1783,30,0.0119,2024,10,1,0
2024-10-01 00:20:00,0.0056,0.005,0.0001,0.0624,0.0062,0.0021,31,0.0528,2024,10,1,0
2024-10-01 00:20:00,,,0.0587,0.8119,0.0802,,AQM 1,0.001,2024,10,1,0
2024-10-01 00:20:00,,,0.099,0.001,0.1123,,AQM 12,0.4128,2024,10,1,0
2024-10-01 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,0
2024-10-01 00:20:00,0.0,0.0,0.003,0.366,0.0011,0.0012,Скат-3,,2024,10,1,0
2024-10-01 00:20:00,0.0011,0.0013,,0.4426,0.0006,0.0006,Скат-4,,2024,10,1,0
2024-10-01 00:20:00,,,0.0035,0.4777,0.0125,0.0089,Скат-5,,2024,10,1,0
2024-10-01 00:20:00,0.0116,0.0136,0.1336,0.6663,0.0619,0.0519,Скат-6,,2024,10,1,0
2024-10-01 00:20:00,,,0.0012,0.4521,,,Скат2,,2024,10,1,0
2024-10-01 00:40:00,,,,2.1157,0.0,0.0,27,,2024,10,1,0
2024-10-01 00:40:00,0.0307,0.0577,0.0834,0.011,0.0836,0.0244,28,,2024,10,1,0
2024-10-01 00:40:00,0.0008,0.0465,0.0001,0.0659,,,29,,2024,10,1,0
2024-10-01 00:40:00,0.0006,0.0006,0.0006,0.9201,0.1037,0.1721,30,0.0118,2024,10,1,0
2024-10-01 00:40:00,0.0046,0.0059,0.0001,0.0621,0.0051,0.002,31,0.0554,2024,10,1,0
2024-10-01 00:40:00,,,0.0551,1.0681,0.0797,,AQM 1,0.001,2024,10,1,0
2024-10-01 00:40:00,,,0.0987,0.0027,0.1125,,AQM 12,0.4127,2024,10,1,0
2024-10-01 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,0
2024-10-01 00:40:00,0.0,0.0,0.0031,0.2239,0.001,0.0011,Скат-3,,2024,10,1,0
2024-10-01 00:40:00,0.0011,0.0013,,0.3571,0.0006,0.0006,Скат-4,,2024,10,1,0
2024-10-01 00:40:00,,,0.0033,0.4999,0.0139,0.0084,Скат-5,,2024,10,1,0
2024-10-01 00:40:00,0.0155,0.0173,0.1336,0.6658,0.0645,0.0504,Скат-6,,2024,10,1,0
2024-10-01 00:40:00,,,0.0012,0.4514,,,Скат2,,2024,10,1,0
2024-10-01 01:00:00,,,,2.0362,0.0,0.0,27,,2024,10,1,1
2024-10-01 01:00:00,0.0311,0.0585,0.0834,0.0111,0.0907,0.0285,28,,2024,10,1,1
2024-10-01 01:00:00,0.0005,0.0517,0.0001,0.068,,,29,,2024,10,1,1
2024-10-01 01:00:00,0.0007,0.001,0.0006,0.9178,0.1019,0.1559,30,0.0123,2024,10,1,1
2024-10-01 01:00:00,0.0039,0.0062,0.0001,0.062,0.005,0.0019,31,0.0558,2024,10,1,1
2024-10-01 01:00:00,,,0.0582,0.7751,0.0797,,AQM 1,0.001,2024,10,1,1
2024-10-01 01:00:00,,,0.1047,0.001,0.112,,AQM 12,0.4128,2024,10,1,1
2024-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,1
2024-10-01 01:00:00,0.0,0.0,0.003,0.3166,0.001,0.0013,Скат-3,,2024,10,1,1
2024-10-01 01:00:00,0.0011,0.0013,,0.2635,0.0006,0.0006,Скат-4,,2024,10,1,1
2024-10-01 01:00:00,,,0.0113,0.5067,0.0134,0.0087,Скат-5,,2024,10,1,1
2024-10-01 01:00:00,0.0157,0.0162,0.1335,0.6636,0.0575,0.0487,Скат-6,,2024,10,1,1
2024-10-01 01:00:00,,,0.0011,0.4515,,,Скат2,,2024,10,1,1
2024-10-01 01:20:00,,,,1.5822,0.0,0.0,27,,2024,10,1,1
2024-10-01 01:20:00,0.035,0.0622,0.0829,0.0111,0.0935,0.0274,28,,2024,10,1,1
2024-10-01 01:20:00,0.0006,0.0499,0.0001,0.0616,,,29,,2024,10,1,1
2024-10-01 01:20:00,0.0017,0.0023,0.0006,0.9292,0.1052,0.1619,30,0.0116,2024,10,1,1
2024-10-01 01:20:00,0.003,0.0058,0.0001,0.0619,0.0048,0.0019,31,0.0607,2024,10,1,1
2024-10-01 01:20:00,,,0.0596,0.5557,0.078,,AQM 1,0.001,2024,10,1,1
2024-10-01 01:20:00,,,0.0925,0.001,0.1116,,AQM 12,0.4127,2024,10,1,1
2024-10-01 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,1
2024-10-01 01:20:00,0.0,0.0,0.0029,0.3703,0.0012,0.0012,Скат-3,,2024,10,1,1
2024-10-01 01:20:00,0.0011,0.0013,,0.0753,0.0006,0.0006,Скат-4,,2024,10,1,1
2024-10-01 01:20:00,,,0.0083,0.4589,0.0131,0.0089,Скат-5,,2024,10,1,1
2024-10-01 01:20:00,0.0208,0.0177,0.1333,0.6627,0.0615,0.048,Скат-6,,2024,10,1,1
2024-10-01 01:20:00,,,0.0011,0.451,,,Скат2,,2024,10,1,1
2024-10-01 01:40:00,,,,2.1286,0.0,0.0,27,,2024,10,1,1
2024-10-01 01:40:00,0.0279,0.0523,0.0834,0.011,0.0875,0.0219,28,,2024,10,1,1
2024-10-01 01:40:00,0.0013,0.0453,0.0001,0.0698,,,29,,2024,10,1,1
2024-10-01 01:40:00,0.0018,0.0017,0.0006,0.9241,0.1032,0.1468,30,0.0118,2024,10,1,1
2024-10-01 01:40:00,0.0055,0.0062,0.0001,0.0619,0.0048,0.0018,31,0.059,2024,10,1,1
2024-10-01 01:40:00,,,0.0595,0.7341,0.0791,,AQM 1,0.001,2024,10,1,1
2024-10-01 01:40:00,,,0.0911,0.001,0.1109,,AQM 12,0.4129,2024,10,1,1
2024-10-01 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,Скат-1,,2024,10,1,1
2024-10-01 01:40:00,0.0,0.0,0.003,0.7611,0.0011,0.0013,Скат-3,,2024,10,1,1
2024-10-01 01:40:00,0.0011,0.0013,,0.0365,0.0006,0.0006,Скат-4,,2024,10,1,1
