datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-07-01 00:00:00,,,,4.5466,0.0008,0.0012,27,,2024,7,1,0
2024-07-01 00:00:00,0.0031,0.0004,0.1164,0.0119,0.0455,0.0708,28,0.001,2024,7,1,0
2024-07-01 00:00:00,0.0013,0.0425,0.0001,0.0639,0.0,0.0,29,,2024,7,1,0
2024-07-01 00:00:00,0.0017,0.0015,0.0007,0.9793,0.0046,0.0002,30,0.0123,2024,7,1,0
2024-07-01 00:00:00,0.0064,0.0073,0.0001,0.0607,0.019,0.0028,31,0.0961,2024,7,1,0
2024-07-01 00:00:00,,,0.0601,0.2016,0.0758,,AQM 1,0.001,2024,7,1,0
2024-07-01 00:00:00,,,0.0575,2.7075,0.1216,,AQM 12,0.001,2024,7,1,0
2024-07-01 00:00:00,0.03,0.0308,0.0029,1.0695,0.0021,0.005,Скат-1,,2024,7,1,0
2024-07-01 00:00:00,0.0,0.0,0.0029,0.0,0.001,0.0013,Скат-3,,2024,7,1,0
2024-07-01 00:00:00,0.0013,0.0015,0.001,0.8718,0.0009,0.0009,Скат-4,,2024,7,1,0
2024-07-01 00:00:00,,,0.0094,0.4431,0.0706,0.0337,Скат-5,,2024,7,1,0
2024-07-01 00:00:00,0.0096,0.0279,0.045,0.716,0.0158,0.0037,Скат-6,,2024,7,1,0
2024-07-01 00:00:00,,,,1.2206,,,Скат2,,2024,7,1,0
2024-07-01 00:20:00,,,,1.8319,0.0008,0.0012,27,,2024,7,1,0
2024-07-01 00:20:00,0.0004,0.0004,0.1179,0.0119,0.0458,0.0716,28,0.001,2024,7,1,0
2024-07-01 00:20:00,0.0015,0.0454,0.0001,0.0685,0.0,0.0,29,,2024,7,1,0
2024-07-01 00:20:00,0.001,0.001,0.0007,0.9896,0.0051,0.0007,30,0.012,2024,7,1,0
2024-07-01 00:20:00,0.0063,0.0071,0.0001,0.0608,0.0235,0.0033,31,0.0922,2024,7,1,0
2024-07-01 00:20:00,,,0.0584,0.2545,0.0735,,AQM 1,0.001,2024,7,1,0
2024-07-01 00:20:00,,,0.0508,2.4954,0.1179,,AQM 12,0.001,2024,7,1,0
2024-07-01 00:20:00,0.0251,0.0261,0.0036,1.1514,0.002,0.006,Скат-1,,2024,7,1,0
2024-07-01 00:20:00,0.0,0.0,0.0032,0.0,0.0011,0.0013,Скат-3,,2024,7,1,0
2024-07-01 00:20:00,0.0013,0.0015,0.001,0.8072,0.0009,0.0009,Скат-4,,2024,7,1,0
2024-07-01 00:20:00,,,0.0114,0.3541,0.0647,0.0304,Скат-5,,2024,7,1,0
2024-07-01 00:20:00,0.0096,0.022,0.045,0.7271,0.0161,0.0028,Скат-6,,2024,7,1,0
2024-07-01 00:20:00,,,,1.2204,,,Скат2,,2024,7,1,0
2024-07-01 00:40:00,,,,1.4175,0.0008,0.0011,27,,2024,7,1,0
2024-07-01 00:40:00,0.0004,0.0004,0.1161,0.0118,0.038,0.0628,28,0.001,2024,7,1,0
2024-07-01 00:40:00,0.001,0.0406,0.0001,0.066,0.0,0.0,29,,2024,7,1,0
2024-07-01 00:40:00,0.0011,0.0007,0.0007,0.9907,0.0047,0.0011,30,0.012,2024,7,1,0
2024-07-01 00:40:00,0.0068,0.0068,0.0001,0.0609,0.0232,0.0026,31,0.0948,2024,7,1,0
2024-07-01 00:40:00,,,0.0609,0.2852,0.0783,,AQM 1,0.001,2024,7,1,0
2024-07-01 00:40:00,,,0.035,2.5024,0.114,,AQM 12,0.001,2024,7,1,0
2024-07-01 00:40:00,0.0231,0.0246,0.0033,1.2135,0.0023,0.005,Скат-1,,2024,7,1,0
2024-07-01 00:40:00,0.0,0.0,0.0029,0.0,0.0011,0.0012,Скат-3,,2024,7,1,0
2024-07-01 00:40:00,0.0013,0.0015,0.001,1.0566,0.0009,0.0008,Скат-4,,2024,7,1,0
2024-07-01 00:40:00,,,0.0072,0.2743,0.0555,0.022,Скат-5,,2024,7,1,0
2024-07-01 00:40:00,0.003,0.0148,0.045,0.6999,0.016,0.0035,Скат-6,,2024,7,1,0
2024-07-01 00:40:00,,,,1.2197,,,Скат2,,2024,7,1,0
2024-07-01 01:00:00,,,,1.431,0.0008,0.0012,27,,2024,7,1,1
2024-07-01 01:00:00,0.004,0.0004,0.1232,0.0116,0.035,0.0568,28,0.001,2024,7,1,1
2024-07-01 01:00:00,0.0012,0.0415,0.0001,0.064,0.0,0.0,29,,2024,7,1,1
2024-07-01 01:00:00,0.0007,0.0011,0.0008,0.9737,0.0051,0.0,30,0.0117,2024,7,1,1
2024-07-01 01:00:00,0.0064,0.0058,0.0001,0.0607,0.0172,0.0026,31,0.1018,2024,7,1,1
2024-07-01 01:00:00,,,0.0633,0.4609,0.0829,,AQM 1,0.001,2024,7,1,1
2024-07-01 01:00:00,,,0.0494,2.1779,0.1156,,AQM 12,0.001,2024,7,1,1
2024-07-01 01:00:00,0.0217,0.0228,0.004,1.1525,0.0025,0.0044,Скат-1,,2024,7,1,1
