datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-09-01 00:00:00,,,,2.4247,0.0,0.0,27,,2024,9,1,0
2024-09-01 00:00:00,0.0619,0.1021,0.0842,0.0117,0.0872,0.0688,28,0.0,2024,9,1,0
2024-09-01 00:00:00,0.0006,0.0417,0.0001,0.0702,0.0,0.0,29,,2024,9,1,0
2024-09-01 00:00:00,0.0005,0.0004,0.0008,0.8118,0.0723,0.0442,30,0.0118,2024,9,1,0
2024-09-01 00:00:00,0.0047,0.0047,0.0,0.0626,0.0053,0.0021,31,0.1322,2024,9,1,0
2024-09-01 00:00:00,,,0.0,0.0,0.0,,AQM 1,0.0,2024,9,1,0
2024-09-01 00:00:00,,,0.0,0.0,0.0,,AQM 12,0.0,2024,9,1,0
2024-09-01 00:00:00,,,0.0,0.0,0.0,,AQM25,0.0,2024,9,1,0
2024-09-01 00:00:00,0.0278,0.0296,0.0059,1.1251,0.0009,0.0006,Скат-1,,2024,9,1,0
2024-09-01 00:00:00,0.0,0.0,0.0029,0.0,0.0011,0.0012,Скат-3,,2024,9,1,0
2024-09-01 00:00:00,0.0011,0.0013,0.0,2.8156,0.0006,0.0006,Скат-4,,2024,9,1,0
2024-09-01 00:00:00,,,0.0216,0.1602,0.0146,0.0086,Скат-5,,2024,9,1,0
2024-09-01 00:00:00,0.0033,0.0042,0.045,0.6807,0.0883,0.0522,Скат-6,,2024,9,1,0
2024-09-01 00:00:00,,,0.0016,0.4655,,,Скат2,,2024,9,1,0
2024-09-01 00:20:00,,,,1.1652,0.0,0.0,27,,2024,9,1,0
2024-09-01 00:20:00,0.0507,0.0822,0.0836,0.0115,0.0879,0.0545,28,0.0,2024,9,1,0
2024-09-01 00:20:00,0.0004,0.0365,0.0001,0.0663,0.0,0.0,29,,2024,9,1,0
2024-09-01 00:20:00,0.0007,0.0005,0.0008,0.7936,0.0733,0.0669,30,0.0121,2024,9,1,0
2024-09-01 00:20:00,0.0047,0.0047,0.0,0.0628,0.0064,0.002,31,0.1257,2024,9,1,0
2024-09-01 00:20:00,,,0.0,0.0,0.0,,AQM 1,0.0,2024,9,1,0
2024-09-01 00:20:00,,,0.0,0.0,0.0,,AQM 12,0.0,2024,9,1,0
2024-09-01 00:20:00,,,0.0,0.0,0.0,,AQM25,0.0,2024,9,1,0
2024-09-01 00:20:00,0.0253,0.0268,0.0047,1.1121,0.0009,0.0005,Скат-1,,2024,9,1,0
2024-09-01 00:20:00,0.0,0.0,0.0032,0.0,0.0011,0.0014,Скат-3,,2024,9,1,0
2024-09-01 00:20:00,0.0011,0.0013,0.0,2.443,0.0006,0.0006,Скат-4,,2024,9,1,0
2024-09-01 00:20:00,,,0.0119,0.0356,0.0152,0.0084,Скат-5,,2024,9,1,0
2024-09-01 00:20:00,0.0412,0.0449,0.045,0.691,0.0899,0.0617,Скат-6,,2024,9,1,0
2024-09-01 00:20:00,,,0.0016,0.4655,,,Скат2,,2024,9,1,0
2024-09-01 00:40:00,,,,0.745,0.0,0.0,27,,2024,9,1,0
2024-09-01 00:40:00,0.043,0.0699,0.0838,0.0114,0.0884,0.0517,28,0.0,2024,9,1,0
2024-09-01 00:40:00,0.0007,0.0345,0.0001,0.0668,0.0,0.0,29,,2024,9,1,0
2024-09-01 00:40:00,0.0006,0.0004,0.0008,0.7945,0.069,0.1037,30,0.0124,2024,9,1,0
2024-09-01 00:40:00,0.0043,0.0043,0.0001,0.063,0.0071,0.0021,31,0.1289,2024,9,1,0
2024-09-01 00:40:00,,,0.0,0.0,0.0,,AQM 1,0.0,2024,9,1,0
2024-09-01 00:40:00,,,0.0,0.0,0.0,,AQM 12,0.0,2024,9,1,0
2024-09-01 00:40:00,,,0.0,0.0,0.0,,AQM25,0.0,2024,9,1,0
2024-09-01 00:40:00,0.0239,0.025,0.0052,1.1048,0.001,0.0006,Скат-1,,2024,9,1,0
2024-09-01 00:40:00,0.0,0.0,0.003,0.0,0.0012,0.0012,Скат-3,,2024,9,1,0
2024-09-01 00:40:00,0.0011,0.0013,0.0,1.991,0.0006,0.0006,Скат-4,,2024,9,1,0
2024-09-01 00:40:00,,,0.0071,0.0258,0.0144,0.0083,Скат-5,,2024,9,1,0
2024-09-01 00:40:00,0.1658,0.1685,0.045,0.6891,0.0831,0.0549,Скат-6,,2024,9,1,0
2024-09-01 00:40:00,,,0.0015,0.4651,,,Скат2,,2024,9,1,0
2024-09-01 01:00:00,,,,0.4837,0.0,0.0,27,,2024,9,1,1
2024-09-01 01:00:00,0.037,0.061,0.0837,0.0114,0.0882,0.0531,28,0.0,2024,9,1,1
2024-09-01 01:00:00,0.0008,0.0398,0.0001,0.0689,0.0,0.0,29,,2024,9,1,1
2024-09-01 01:00:00,0.0005,0.0004,0.0008,0.819,0.0687,0.1325,30,0.0127,2024,9,1,1
2024-09-01 01:00:00,0.0042,0.0042,0.0,0.0627,0.0065,0.002,31,0.1286,2024,9,1,1
2024-09-01 01:00:00,,,0.0,0.0,0.0,,AQM 1,0.0,2024,9,1,1
