datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-08-01 00:00:00,,,,2.3602,0.0,0.0,27,,2024,8,1,0
2024-08-01 00:00:00,0.0468,0.0992,0.0001,0.0111,0.0603,0.0872,28,0.0,2024,8,1,0
2024-08-01 00:00:00,0.0007,0.0354,0.0002,0.0674,0.0,0.0,29,,2024,8,1,0
2024-08-01 00:00:00,0.0013,0.0015,0.0006,0.9361,0.0751,0.154,30,0.0123,2024,8,1,0
2024-08-01 00:00:00,0.0067,0.0068,0.0,0.063,0.0119,0.002,31,0.105,2024,8,1,0
2024-08-01 00:00:00,,,0.067,0.4236,0.0889,,AQM 1,0.0012,2024,8,1,0
2024-08-01 00:00:00,,,0.1406,0.001,0.1306,,AQM 12,0.0,2024,8,1,0
2024-08-01 00:00:00,,,0.0238,5.2801,0.1154,,AQM25,0.001,2024,8,1,0
2024-08-01 00:00:00,0.0332,0.0462,0.0027,0.5325,0.2994,0.0091,Скат-1,,2024,8,1,0
2024-08-01 00:00:00,0.0,0.0,0.0124,0.0,0.0011,0.0011,Скат-3,,2024,8,1,0
2024-08-01 00:00:00,0.0011,0.0013,0.0,0.0,0.0006,0.0006,Скат-4,,2024,8,1,0
2024-08-01 00:00:00,,,0.0155,0.0644,0.0149,0.0078,Скат-5,,2024,8,1,0
2024-08-01 00:00:00,0.0464,0.0488,0.0747,0.6806,0.0,0.0,Скат-6,,2024,8,1,0
2024-08-01 00:20:00,,,,3.1492,0.0,0.0,27,,2024,8,1,0
2024-08-01 00:20:00,0.0355,0.0849,0.0001,0.0111,0.062,0.0908,28,0.0,2024,8,1,0
2024-08-01 00:20:00,0.0008,0.0438,0.0001,0.0744,0.0,0.0,29,,2024,8,1,0
2024-08-01 00:20:00,0.0015,0.0019,0.0006,0.9283,0.0776,0.1537,30,0.012,2024,8,1,0
2024-08-01 00:20:00,0.0066,0.0066,0.0001,0.0627,0.0078,0.002,31,0.1166,2024,8,1,0
2024-08-01 00:20:00,,,0.0618,0.0726,0.0783,,AQM 1,0.0034,2024,8,1,0
2024-08-01 00:20:00,,,0.1377,0.001,0.1312,,AQM 12,0.0,2024,8,1,0
2024-08-01 00:20:00,,,0.0339,3.7467,0.1128,,AQM25,0.001,2024,8,1,0
2024-08-01 00:20:00,0.0254,0.0331,0.0025,0.5573,0.3131,0.0194,Скат-1,,2024,8,1,0
2024-08-01 00:20:00,0.0,0.0,0.0102,0.0,0.0011,0.0012,Скат-3,,2024,8,1,0
2024-08-01 00:20:00,0.0011,0.0014,0.0,0.0,0.0006,0.0007,Скат-4,,2024,8,1,0
2024-08-01 00:20:00,,,0.0105,0.3877,0.0155,0.0077,Скат-5,,2024,8,1,0
2024-08-01 00:20:00,0.2074,0.2135,0.0752,0.6931,0.0,0.0,Скат-6,,2024,8,1,0
2024-08-01 00:40:00,,,,3.5719,0.0,0.0,27,,2024,8,1,0
2024-08-01 00:40:00,0.034,0.0793,0.0001,0.0111,0.0622,0.091,28,0.0,2024,8,1,0
2024-08-01 00:40:00,0.001,0.0486,0.0001,0.0891,0.0,0.0,29,,2024,8,1,0
