datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-02-01 00:00:00,,,,1.5428,0.0201,0.038,27,,2024,2,1,0
2024-02-01 00:00:00,0.0004,0.0004,0.0816,0.0104,0.016,0.0031,28,0.0663,2024,2,1,0
2024-02-01 00:00:00,0.0043,0.0295,0.0001,0.0228,0.0372,0.0342,29,,2024,2,1,0
2024-02-01 00:00:00,0.0018,0.0021,0.0009,0.7508,0.0689,0.0541,30,0.0109,2024,2,1,0
2024-02-01 00:00:00,0.0035,0.0032,0.0,0.0108,0.032,0.0025,31,0.0745,2024,2,1,0
2024-02-01 00:00:00,,,0.0536,0.0322,0.0666,,AQM 1,0.0051,2024,2,1,0
2024-02-01 00:00:00,,,0.0485,0.9575,0.1086,,AQM 12,0.001,2024,2,1,0
2024-02-01 00:00:00,,,0.0195,0.3966,0.0841,,AQM25,0.0092,2024,2,1,0
2024-02-01 00:00:00,,,0.0014,1.8739,0.1017,,AQM26,0.001,2024,2,1,0
2024-02-01 00:00:00,0.0098,0.0101,0.0032,0.0547,0.0187,0.0038,Скат-1,,2024,2,1,0
2024-02-01 00:00:00,0.013,0.013,0.0105,0.0,0.0479,0.0087,Скат-3,,2024,2,1,0
2024-02-01 00:00:00,0.0008,0.001,0.0004,0.0891,0.7188,0.4197,Скат-4,,2024,2,1,0
2024-02-01 00:00:00,,,0.0038,0.8141,0.1222,0.0656,Скат-5,,2024,2,1,0
2024-02-01 00:00:00,0.0016,0.0075,0.0629,0.6791,0.0168,0.0028,Скат-6,,2024,2,1,0
2024-02-01 00:00:00,,,,0.3698,,,Скат2,,2024,2,1,0
2024-02-01 00:20:00,,,,1.1376,0.0202,0.0139,27,,2024,2,1,0
2024-02-01 00:20:00,0.0004,0.0004,0.0817,0.0104,0.017,0.003,28,0.0663,2024,2,1,0
2024-02-01 00:20:00,0.0063,0.0408,0.0001,0.0161,0.0356,0.0321,29,,2024,2,1,0
2024-02-01 00:20:00,0.0006,0.0005,0.0009,0.7509,0.0789,0.1176,30,0.0111,2024,2,1,0
2024-02-01 00:20:00,0.0037,0.0042,0.0,0.0108,0.0429,0.0029,31,0.0665,2024,2,1,0
2024-02-01 00:20:00,,,0.0596,0.1475,0.0672,,AQM 1,0.0054,2024,2,1,0
2024-02-01 00:20:00,,,0.0426,1.6404,0.1114,,AQM 12,0.001,2024,2,1,0
2024-02-01 00:20:00,,,0.0047,1.6936,0.1011,,AQM26,0.001,2024,2,1,0
2024-02-01 00:20:00,0.0138,0.0143,0.0027,0.0528,0.0232,0.0025,Скат-1,,2024,2,1,0
2024-02-01 00:20:00,0.0148,0.0149,0.009,0.0,0.0458,0.0187,Скат-3,,2024,2,1,0
2024-02-01 00:20:00,0.0008,0.001,0.0004,0.0902,0.7283,0.3498,Скат-4,,2024,2,1,0
2024-02-01 00:20:00,,,0.0038,0.7634,0.1228,0.0607,Скат-5,,2024,2,1,0
2024-02-01 00:20:00,0.0017,0.0086,0.0629,0.6733,0.0169,0.0032,Скат-6,,2024,2,1,0
2024-02-01 00:20:00,,,,0.3836,,,Скат2,,2024,2,1,0
2024-02-01 00:40:00,,,,2.5151,0.021,0.0866,27,,2024,2,1,0
2024-02-01 00:40:00,0.0004,0.0004,0.0816,0.0104,0.0162,0.0034,28,0.0663,2024,2,1,0
2024-02-01 00:40:00,0.0071,0.0415,0.0001,0.0222,0.0393,0.0396,29,,2024,2,1,0
2024-02-01 00:40:00,0.0006,0.0006,0.0009,0.7513,0.0726,0.1304,30,0.011,2024,2,1,0
2024-02-01 00:40:00,0.0036,0.0039,0.0001,0.0108,0.0315,0.0023,31,0.0748,2024,2,1,0
2024-02-01 00:40:00,,,0.0604,0.4465,0.0759,,AQM 1,0.0017,2024,2,1,0
2024-02-01 00:40:00,,,0.0359,2.223,0.1137,,AQM 12,0.001,2024,2,1,0
2024-02-01 00:40:00,,,0.0242,0.3215,0.0803,,AQM25,0.0125,2024,2,1,0
2024-02-01 00:40:00,,,0.0196,1.2899,0.1021,,AQM26,0.001,2024,2,1,0
2024-02-01 00:40:00,0.0113,0.0114,0.0032,0.0551,0.0189,0.0018,Скат-1,,2024,2,1,0
